UID,abstract
A7-4,In-context Learning (ICL)は，言語モデルにおける新たな少数ショット学習パラダイムとして注目されているが，その内在的メカニズムは十分に解明されていない.本研究では，ICL の推論ダイナミクスを3 つの基本操作に分解し，それらを基盤として推論回路を構築した上で精密な測定を行い，従来の研究で観察されてきた現象を統一的に説明することを試みた.さらに，提案した回路を無効化するアブレーション分析の結果，ICL の性能が顕著に低下することが確認され，提案した推論回路がICLの主要なメカニズムであることが示唆された1）.
E2-4,本研究は，サンスクリット辞書の意味記述を横断的に探索する新たなアプローチを提示する．Cologne Digital Sanskrit Dictionaries が公開する 21 種類のサンスクリット辞書を用い，大規模言語モデルに追加学習を行うことで，個々の辞書の限界を超えた柔軟な意味解釈を可能にするモデルを構築した．提案モデルは，既存辞書の記述を統合しつつ，辞書に記載されていない単語についても意味記述を生成する能力を示した．また，妥当性がありながら，いずれの辞書でもなされていない意味記述を生成することも可能であることを示した．
P6-13,"近年,顧客とのエンゲージメントを生む施策としてコミュニティの重要性や価値が増しており,コミューン株式会社が提供する“Commune”のようにクライアントごとに個別のコミュニティを提供するサービスが注目されている.このようなコミュニティ提供は顧客体験の向上に寄与する一方で,例としてハッシュタグ推薦タスクにおいては,各コミュニティが異なるハッシュタグ空間を持つため新たな課題をもたらす.本研究では,単一のモデルで複数のコミュニティに対するハッシュタグ推薦を可能にするべくマルチラベル分類モデルを用いた二段階推薦を提案する.提案手法は実験の結果, NDCG@10 で0.52 を達成し、推論速度の観点からも実運用に適した有効性を確認した."
P8-16,本研究は，芸能人のファンが，芸能人に関連する事柄についての情報探索を行いやすくすることを目的とする．X から特定の芸能人に関するポストを収集し，大規模言語モデル(LLM)である ChatGPT を活用して，芸能人の評価対象とそれに関連する感想のペアを抽出する．これらをキーワードとして使用し，上位 30 件のウェブページから感想の背景にある理由を探る．この理由の収集・集約では，ChatGPTに検索拡張生成(RAG)の枠組みを適用し，収集したウェブページの内容を参照情報として活用する．人手で作成した評価対象と感想のペア，および理由のデータを参照として評価を行った結果，提案手法が高い精度を達成することが明らかになった．
P8-14,本研究では，日本語検索拡張生成（RAG）システムの性能評価と改善を目的とした企業法務向け評価データセットを構築する．構築した評価データセットを用いて既存モデルの性能検証とエラー分析を行う．一般ドメインの評価データセットでの性能評価結果と異なることを示し，特定のドメインに特化した評価データセットを作成することの重要性を明らかにする．さらに，より信頼性の高い評価データセットの確立のため，評価データの収集方法の違いがモデルの性能評価結果に与える影響について追加検証を実施する．
P1-24,"Using the Universal Dependency Database (UDD), theword order of subject (S), object (O), oblique (X), and verb (V) is  investigated. The  order  of  three  dependent elements (S, O, X) and head verb  are examined in the database and the frequency of each word order patterns are counted. Although previous studies investigated the order of S, O, and V or O, X, and V, no studies have investigated the order of S, O, X, and V to the author's knowledge. The  study  results  show  the  following:(1) Frequent  word  orders  are  SVOX, SXOV, SOVX, and SOXV.(2) Frequent verb positions are 2nd, 4th, 3rd, and 1st.(3) In the case of verb position is 2nd, 3rd, or 4th, the most frequent element of the 1st position is S.(4) In the case  of  verb  position  is  2nd  or 3rd, the  most  frequent element of 4th position is X.(5) In the order of S, O, and X ignoring verb position, SOX, SXO, and XSO are most frequent.(6) O is often adjacent to V."
P1-18,"Sign language translation (SLT) has traditionally de-pended on gloss annotations, which are costly and time-consuming to produce. This work presents a gloss-free SLTframework that integrates raw RGB video input with facialkeypoint features, enabling richer visual representations.We leverage a two-stage approach:ﬁrst aligning visualand textual features with a frozen multilingual mBARTencoder, then reﬁning translation through the mBART de-coder. Evaluations on the PHOENIX-2014T dataset showperformance gains over baselines, yielding a +0.64 BLEUimprovement. These results conﬁrm that incorporating fa-cial keypoints strategy can signiﬁcantly improve gloss-freesign language translation."
P6-11,本研究では，複数のデータセットにおけるラベル付けの違いを効果的にモデル化し，複数データセットで学習を行うために，条件付き変分オートエンコーダ（Conditional Variational Autoencoder;CVAE）をスパンベースの固有表現抽出（NamedEntity Recognition; NER）モデルに統合する先行研究からエンコーダの変更と条件ベクトルの学習を行う．実験では，複数の生物医学データセットを用いた学習を行い，BioRED データセットでの評価で提案手法の有効性を示し，性能向上を確認した．
A7-6,"大規模言語モデルが特定のペルソナ（人格）として振る舞うとき,モデルはどの程度“本心から”ペルソナという仮面を被っているのだろうか.本研究では,表層的には指示されたペルソナとして振る舞えているモデルが,その内部では異なる思考をしているという仮説を立て,モデルの内部表現から出力までの思考の一貫性を検証する.訓練データ・チェックポイントが異なる複数のモデルについて,内部表現一貫性評価のために我々が提案した新たな尺度で評価した結果,ペルソナを付与することでモデルの内部表現の一貫性が向上する事がわかった.一方で,モデル構築過程での内部表現の一貫性向上には限界があることも示され,より出力と内部表現が一貫したモデルを作る方策の必要性が示唆された."
C1-5,大規模言語モデル（LLM）の事前学習では，高品質なテキストを用いることが望ましい．本研究では，文書の「教育的価値」に着目した 2 種類の軽量な分類器を構築して，各文書に品質スコアを付与し，大規模日本語ウェブコーパスから高品質なテキストを抽出する手法を提案する．実験により，提案手法を適用することで，同等の学習計算規模で日本語の知識に関する LLM の能力をより効率的に向上できることを示した．また，分類器の特性比較，ヒューリスティック・ルールの調整，学習のエポック数を増やす実験などを通じて，提案手法の実用性やLLM構築の最良慣行について検証する．
P5-9,生成系タスクにおける大規模言語モデルを用いた自動評価では，評価基準の曖昧さが課題とされている．これに対し，チェックリストにより評価基準を細分化する方法が注目されているが，作成方法の検討はまだ十分でない．本研究では 6 つの生成手法でチェックリストを作成し，それに基づいて回答を評価，その有効性を 3 種の評価モデルで検証した．その結果，チェックリスト未使用時と比較して一致率が向上したケースは 22.6%に留まり，チェックリストの有効性は限定的であった．一方，項目数制限や付加情報の活用が有効であり，小規模評価モデルでも適切なチェックリストを用いることで大規模モデルと同等の評価を行える可能性が示唆された．
Q6-3,本論文では，専門家が作成した法令に関する QAの四者択一問題とその Ground Truth に対して，複数の大規模言語モデル(LLM)を用いて検証することで，Ground Truth に誤りがあることを発見した．発見する方式としては，Ground Truth を与えない状態で，3 種類の異なるファウンデーションモデルのLLM に 0-shot の設定で回答させた．生成された回答から majority voting などの方法で結果を統合し，すべての LLM の答えが一致しない問題を抽出したのち，再度専門家に確認を依頼し，一部問題でGround Truth が誤っていることを突き止めた．
Q1-21,"Graphical Abstract (GA)は論文の要点を視覚的に伝える重要な表現手段である.効果的な GA の作成には高度なデザインスキルが求められ,設計支援技術の実現が期待される.本研究では,約 14.5 万の論文と GA を含む 141 万枚の図からなるデータセットSciGA-140k を構築した.また, GA 設計支援の前段として, Abstract を基に論文内から GA として適切な図を検索するタスク Abst2GA Retrieval を提案する.我々は CLIP を基盤とするベースラインを設計し,提案タスクの有効性を示した.ベースラインは他の論文の GA を検索し,デザイン案を提示する支援機能も提供する.我々のアプローチは GA 設計支援の新たな方向性を示し, AI for Science の発展に貢献する."
Q8-11,本稿では，従来研究における RNN ベースの深層系列処理モデルの持つ課題，（1）記憶の劣化，（2）不正確な勾配の逆伝搬，（3）次トークン予測に対する親和性，の 3 点を同時に解決する DNN 記憶機構の実現に取り組む．具体的には，課題 1〜2 に対処するため，記憶領域に保存されて以降，別の時刻の隠れ状態で上書きされるまで，記憶が保存時の値の恒等写像として完全に保持される Flashback 特性を定義し，その性質を満たす Flashback 機構を提案する．また課題 3 に対して，次トークン予測が可能な方式で，Flashback 機構を従来の Transformersと Mamba それぞれに組み込んだアーキテクチャを提案する．実験では，多様なテキストデータを含むThe Pile データセットを学習に用いて，従来手法への Flashback 機構の導入による常識推論精度，処理速度，メモリ使用量のトレードオフを評価することで，Flashback 特性の有効性を検証した．
Q6-14,本研究では，「質感」に焦点を当て，大規模視覚言語モデル（LVLM）の質感知覚能力を調査し，さらに LVLM と人間との間の質感知覚の整合性を分析することを目的とする．はじめに画像内の物体に対して人間が知覚する質感語を人手で収集した．次に，収集した質感語をもとに，LVLM が適切な質感語を選択できるか評価する分類タスクを設計し，LVLMと人間の正解率を算出した．また，LVLM に質感語を生成させ，その出力を人間が評価する生成タスクも実施した．最終的には，分類タスクの正解率が高い LVLM は，生成タスクにおいても高いスコアを示すことを確認し，分類タスクが，LVLM の質感知覚能力の評価だけでなく，人間知覚の整合性まで簡易に評価できる可能性があることを示す．
Q10-23,"「発想や類推を機械によって行う,あるいは人間の類推の補助が出来ないか」というテーマで研究を行う.例として(爆発物)- (ガソリン)→ (水素)からエンジンの代替エネルギーの発想を得るなどである.以前の村田の研究[1]では,「ネコ」という単語の属性を考え,その属性に「大きい」という属性を追加することで「トラ」という単語を類推して,「ネコを大きくするとトラが導き出される」拡大や縮小の類推を行った.田代の研究[2]では,類似する２単語の引き算により得られる属性を類推する研究を行った.これらの研究では McRae のデータセット[3]を基に研究を進めた.本研究は,入力次第で様々な類推が可能なChatGPT を使用し,「田代の研究で行った類推との比較」,「McRaeと同様のデータセットの作成」,「ChatGPT による様々な類推」を行った.田代の研究の引き算の類推では類推性能 0.46 であったが,本研究の引き算の類推では類推性能 0.48 に向上した.ChatGPT で引き算の類推を行う時も集合で引き算をした場合の方が向上することが分かった.また,McRae のようなデータセット生成で意味の一致を正解とした場合,性能 F 値 0.61 と高性能なデータセット作成が可能であることが分かった. 9 種類のオズボーンのチェックリスト[4]での ChatGPT を用いた類推において,類推性能 0.88 で類推できることを確認できた."
P9-4,"Counter-Argument Logical Structure Analysis(CALSA) is a task that analyzes logic patterns of acounter-argument in relation to an initial argument. Itholds substantial educational value, as informative feed-back for improving counter-arguments can be providedbased on the analyzed logic pattern. However, due tothe complex nature of the task, the implicit reasoningskills required to identify these underlying logic patternspresent signiﬁcant challenges for current LLMs. Toaddress this, we explore decomposing the logic patternsinto ﬁne-grained logic components and tackling themindividually. Our experimental results demonstrateimprovements compared to identifying coarse-grainedlogic patterns. More impor tantly, we ﬁnd that whetherpredicted logic patterns can be considered plausibledeeply depends on the degree of implicitness involved ininterpreting an argument."
P10-23,近年，日本の総人口に占める高齢者人口の割合は過去最高となり，要介護者数も増加している．介護現場において，高齢者の発言を傾聴することは信頼関係を築くために重要である．しかし，近年の介護士の人材不足や介護負担等から被介護者に十分な時間をかけることが困難である．本稿では，外部情報に基づき応答を生成する RAG（Retrieval-AugmentedGeneration）を用いて，傾聴応答の生成可能性を検証する．評価実験では，傾聴応答の生成件数や，ファインチューニングの必要性に注目して考察する．
A5-4,近年，プロンプトを与えることでタスクごとに適した埋め込み表現を出力する，プロンプトに基づくテキスト埋め込みモデルが高い性能を示している．しかし，これらのモデルはしばしば数千次元に及ぶ巨大な埋め込み表現を出力するため推論コストや保存コストに課題がある．本稿では，分類，クラスタリング，検索という 3 種のタスクに対し，事後的にこれらの埋め込みの次元数を削減した場合の性能を調査し，分類・クラスタリングタスクについては次元数を大幅に削除しても性能がほとんど損なわれないことを示す．さらに，固有次元の大きさや等方性を調査することで，大幅な次元削減が可能なタスクに適した埋め込みは冗長性が大きいことを示す．
Q4-1,"Machine learning for structured data has lagged be-hind text and image, with current methods remainingapplication-dependent and requiring extensive algorithmselection and hyperparameter tuning. Large tabular models(LTMs) oﬀer a promising solution for context-aware Au-toML by pretraining on diverse tabular datasets. However,scalability remains a challenge due to the quadratic growthof contexts. This paper introduces a novel in-context Au-toML paradigm focused on semantically informed featureengineering, where input data, rather than model parame-ters, are treated as learnable components. By leveragingtask-speciﬁc insights from data card descriptions and his-torical logs, a large language model (LLM) enhances con-text creation for a LTM. Empirical results on ten benchmarkdatasets demonstrate this paradigm delivers competitiveperformance compared to conventional AutoML methods."
B8-4,広告の成功には人々を惹きつける効果的な言葉選びが欠かせない．本研究は広告文の言語表現に焦点を当て，どのような言語的特徴を持つ広告文が好まれるか明らかにすることを目的とし，選好評価データ付きの広告文言い換えデータセット AdParaphraseを提案する．AdParaphrase は広告文の言い換えペアから構成され，選好評価データを含む．これにより人々が魅力的に感じる広告表現の分析が可能となる．実験では広告文の言語的特徴量と選好評価データの関係を分析し，魅力的な広告文の特徴を明らかにした．またこれらの知見や提案データセットを活用し，魅力的な広告文を生成する手法を探求した．
Q3-24,本研究は、動画キャプション生成タスクにおけるマルチモーダル LLM のハルシネーションの分析を行う。また、ハルシネーション分析に向けて、モデル生成文に対する誤り区間のスパンとそのスパンの修正を付与した新しいデータセットを構築した。分析は言語情報と視覚情報の２つの観点から行い、誤りパターンの分析や動画の明るさや動きといった視覚的要因との関連性に注目した分析を行う。分析結果から、モデルの生成文は入力動画の視覚情報よりもマルチモーダル LLM の Decoder の影響を強く受けた文表現となることや、動画の明るさが大きいほどハルシネーションが生じやすい傾向にあることなどが分かった。
Q4-11,アライメントは大規模言語モデル(LLM)の振る舞いを人間の選好に合わせて無害で正確な，バイアスのない応答を生成するようモデルを誘導する手法である．アライメントの効果は選好データセットの質と量に大きく依存することが知られているが，人手による高品質な選好アノテーションを集めることは非常に高価である．そのため，高性能な LLMを用いて選好データを自動生成する手法が広く研究されている．しかしながら先行研究の多くは英語の多量のデータのあるドメインでの評価がほとんどであり，真に合成データが必要な非英語少データドメインにおける合成方法は明らかにされていない．本研究は日本語 LLM (CALM3)を用い，日本語の AnswerCarefully データセットを基にデータ合成手法を評価した．人手評価の結果，データ合成を行わない場合および外部の報酬モデルを用いた合成方法と比較して，CALM3 のみを使った合成方法の方が高い性能が得られた．本研究成果は日本語の少データドメインでも選好データの合成が効果的であることを示すものであり，今後の日本語 LLM の研究開発に活かされるものであると考えられる．
Q3-18,デザイン会社などで多くのデザイン画像が蓄積されている一方で，近年の Stable Diﬀusion1）をはじめとする Diﬀusion モデル[1]を利用した言語から画像を生成する研究が発展している．本研究では既存のデザインデータを利用することで，目的に応じた新たなデザイン画像を生成する手法について研究する．第一段階として本稿では，デザイン画像として，シンボルマークに注目し，Diﬀusion モデルにシンボルマークと関連するテキストを学習させた場合の画像の出力についてどの程度反映されているかを明らかにする．約 770 件程度のシンボルマークデータを学習させた結果，学習したデータの画像に近い絵を出力するようになったが，一方で，現段階ではデザイン画像として利用できない点があることを明らかにする．
C5-1,サッカーの試合の臨場感や興奮を直接的に伝える主要な手段として，アナウンサーなどによる試合中の実況がある．一方で，サッカーの試合実況は専門人材やコスト面での制約が大きく，下位リーグやアマチュア，育成年代といったあらゆるカテゴリーにおいて実施することは容易ではない.そこで，本研究では，サッカーにおける多様なカテゴリの試合に実況を付与することを目指し，試合映像や選手・ボールの位置情報等の情報から自動的に実況を生成する下流タスクを新たに提案する．J リーグの試合映像に対して実況を付与したサッカー実況生成モデル構築のための大規模なデータセット Live FootballCommentary (LFC)を作成した上で，選手・ボールの位置情報データを入力として，大規模言語モデル（LLM）を用いて実況を生成するベースラインモデルを構築し，評価を行なった．
A3-2,本研究は，複数の大規模言語モデル（LLM）エージェントが協力してタスクを実行するマルチエージェント（MA）アプローチを，社会心理学的な観点から分析することを目的とする．人間同士の相互作用が問題解決に与える影響に関する理論であるSteiner’s theory に基づき，LLM の MA アプローチのエージェント間の相互作用を類型化し，新たな評価指標を設計した．複数のタスクと MA フレームワークにおいて各評価指標を計測し，誤った考えの伝播がグループ全体の結論に悪影響を及ぼすことを明らかにした．また，MA によって単一エージェント（SA）では現れなかった意見が出ることや，誤った意見が出たときに正しい意見を提示することが性能向上につながるかはタスクやフレームワークに依存することが分かった．
E6-2,本論文の目的は，有価証券報告書の表から情報を抽出するタスク（NTCIR-18 U4 Task）に参加するためのシステムの構築である．NTCIR-18 U4 タスクは，表検索サブタスクと表質問応答サブタスクに分けられる．本研究は，表質問応答サブタスクに注目した．表質問応答サブタスクでは，多くの自然言語処理タスクで優れた結果を示している最先端の大規模言語モデル（LLM）を利用し，既存の事前学習済みのモデルを上回り，最高の性能を達成することが期待される．
Q2-7,ユーザのパーソナリティ情報を用いて、興味に合わせた会話を提供することが求められている。本研究では、特にシステム発話を起点とした雑談会話を想定し、ユーザのパーソナリティ情報を利用してユーザの興味のありそうな話題かどうかを推定することができるかを検討した。追加学習した BERT がベースラインを上回る性能だった一方、GPT-4o はベースラインを下回った。パーソナリティ情報から興味の有無を一定の性能で判定できることを確認した。
D9-5,良い対話システムの定義はシステムの用途や評価する個人によって様々である．本研究では，システム設計者など特定の個人の評価傾向を反映した対話システムの自動評価手法を目指す．事前調査として，対話評価における個人差を定量的に分析した．具体的には，対話評価用データセットに付与されている各評価者の評価値から評価傾向の違いを検証した．結果として，評価者間の相関は低く，重視する評価軸の相違が確認された．
P3-21,未成熟な大学生は、謝罪の経験が不足していることが多い。例えば、授業に遅刻したり、レポートの提出期限に遅れたりする場合、教員との適切なコミュニケーション方法として、対話を通じた回復戦略を学ぶことが学生の将来にとって有益である。また、学生が教える立場に立ち自己の学びを深める Learning by Teaching（LBT）やソーシャルスキルトレーニング（SST）の手法を活用することで、生成 AI を利用した対話エージェントの開発が可能となる。このアプローチでは、過失を犯したロボット（アバター）に対し、学生自身が教育的指導を行うことで、実践的な学習素材として活用できる。本論文では、学部 1 年生向け実習科目において導入した対話システムと、その教育効果について論じる。
P4-14,本研究では，アジア地域の英語学習者が書いたエッセイを対象に，各地域特有の言語使用の特徴を明らかにすることを目的とした．ICNALEコーパスの中級レベル（B1_1 および B1_2）の「大学生のアルバイト」に関するエッセイデータを用い，TF-IDF でベクトル化したデータに基づきロジスティック回帰モデルで地域分類を実行した．モデルの正解率は 0.74 であり，混同行列と使用単語の寄与度の分析から，各地域特有の語彙傾向が確認された．これは，文化的・教育的背景が特徴に影響を与えることを示している．
C7-3,会話エージェントが人間に代わって語りの聴き手となることが期待されている．聴き手は，語り手に対して相槌などの応答をすることが重要であり，会話エージェントが聴き手として認められるためには，傾聴態度を示す応答（傾聴応答）の生成が望まれる．傾聴応答には複数の種類が存在し，語り手の発話に対する適切なものは必ずしも 1 つではない．そのため，発話に適する応答種類を複数推定したうえで，その種類に基づいて応答表現を生成することが望ましい．本論文ではある発話に対して表出可能な応答を複数生成する手法について述べる．語り手の発話に適する応答種類をマルチラベル分類により複数推定，発話と推定結果から応答表現を生成する．実験により，応答種類の推定において macro-F1で 0.83 を得た．また応答表現の生成において，比較モデルより Distinct-N の値が向上していたことから，応答種類を利用する有効性を確認した．
E4-1,本研究では，朝日歌壇に掲載されている短歌の特徴を，Fisher の線形判別分析を用いて調査する．どのような短歌が朝日歌壇に掲載されているのかを調査するために，比較の対象として生成モデルによって作成された短歌を用意する．生成短歌には，もし朝日歌壇に投稿されていたら掲載されるような短歌(正例)から，掲載されないような短歌(負例)まで，多様な短歌が幅広く含まれている．こうした朝日歌壇短歌と生成短歌に対して，本研究では従来の線形判別分析を PU 学習の枠組みに拡張した手法を提案し，朝日歌壇短歌を正例データ，生成短歌を正例と負例が混在するラベルなしデータとみなして，これらが混在する PU 学習の枠組みで分析を行った．
A1-1,大規模言語モデル（Large Language Model; LLM）はジェイルブレイク攻撃に対して脆弱であり，違法行為や非倫理的な内容などの有害な出力をしてしまうリスクがある．このジェイルブレイク攻撃に対して，LLM が有害な出力をしてしまうメカニズムは十分に解明されていない．本研究では LLM のアテンションヘッドに着目して内部状態の分析を行い，数%のアテンションヘッドが有害な出力に大きく関与していることを明らかにする．また，分析結果を利用して，アテンションヘッドへの介入による防御手法を提案する．実験の結果，提案手法によ性能の低下を 3%以内に抑えつつ，攻撃成功率を 2，3%程度まで低下させられることが確認された．
C7-2,本論文では，音声・音響・音楽信号を対象とするオープンな音基盤モデル構築に向けた，データセットの策定結果を報告する．汎用的な音基盤モデルを構築してその知見を共有するには，構築に資するデータセットを再現可能な形で整備すべきである．本論文では，音基盤モデルの満たすべき入出力条件を整理し，策定したデータセットについて分析する．
P4-15,談話分析手法の一つである「修辞機能分析」は，発話機能の分類と，主語や主題の分類と述部の時制の分類の組み合わせから修辞機能と脱文脈度を特定するものである．本研究は親子会話の発話に付与された談話行為情報のうち行為要求に分類されている発話の修辞機能を確認して，修辞機能分析と談話行為情報との関係を明らかにすることを試みた．その結果，典型的な行為要求の修辞機能だけでなく，間接的な表現がさまざまな修辞機能として用いられており，修辞機能分析の分類法によってこれらの観察ができることが明らかになった．
D9-4,対話翻訳におけるスタイライズされたコンテンツや対話の一貫性は，機械翻訳にとって重要な課題である．本研究では，これらの問題を評価する指標として「対話翻訳のための多次元品質評価基準（MQM-Chat）」を提案する．MQM-Chat は曖昧さ，流行語，対話不整合性などの 7 種類のエラータイプで構成される．5 つの機械翻訳モデルで生成した対話データに対し，人間によるアノテーションを行った結果，MQM-Chat は既存の評価基準よりも効果的にエラーを分類し，対話特有の問題を明確に示した．
Q2-6,"本研究では，英語母語話者の文法性判断と生成AI のその判断の差異を調査した.英語の主要 56 構文（合計 4,483 例）を用い，AI の文法性判断と母語話者のそれを比較した結果,母語話者が文法的と判断した例では約 82 ％，非文法的文と判断した例では約 62 ％の一致率を確認した．特に話題化，外置，寄生空所など移動を伴う構文において AI と母語話者の判断が乖離する傾向にあることが示された．本研究により，文法性判断に関して生成 AI の苦手分野を特定できたことから，AI の文法性判断能力向上を目指した適切な学習データの構築とベンチマークの開発が今後の研究課題として浮き彫りになった．"
A3-3,"RAG システムの評価には,高品質な QA データセットが不可欠である.しかし,現行の手動作成方法は多大な時間的・人的コストを要し,また既存の自動生成ツールでは生成されたデータセットの品質に課題があるため実案件での利用が難しいという問題がある.そこで本論文では, RAG の評価データセットに求められる品質観点を整理した上で高品質なデータセットの自動生成手法を提案する.実験の結果,一定程度の品質を持つデータセットの生成が可能であり,また従来の実案件データセットと同様に RAG の精度向上を適切に捉えられることを確認した."
E6-3,ティックサイズとは、投資家が注文を行うときに出す注文価格に関する変更可能な単位のことを表す。証券取引所がティックサイズを変更するのには、流動性を高めて、自社の取引所に投資家を呼び込無ことを目的としている。ティックサイズに関してはかず多くの研究があるが概ね流動性の改善が見られているが、東京証券取引所が２０１３年に実施した変更では流動性の悪化が一部で見られた。そこで、本研究では、ティックサイズ変更に関連したパブリックコメントを活用して、売買高の予測モデルの作成を行うことを目的とする。
Q4-10,大規模言語モデル（LLM）の事前学習は，モデルパラメータの多さからメモリ要求量の問題に直面する．本稿では，モデル拡張を用いたメモリ効率に優れた事前学習法である STEP を提案する．実験結果から，STEP を用いることにより，標準的な事前学習と比較して，最大で 53.9%の最大メモリ要求量を削減しながら同等の性能を達成することを確認した．さらに，STEP により訓練されたモデルが，下流タスクに対しても標準的に訓練されたモデルと同等の性能を達成することを示す．
Q3-19,"本研究では,動画データと画像キャプション生成モデルを活用した,音とテキストのペアデータの自動生成手法を提案する.提案手法は 3 段階で構成される.まず,画像キャプション生成モデルを用いて動画のフレームごとにキャプションを生成する.次に,これらのキャプションの選択/統合により動画全体を説明するキャプションを作成する.最後に,生成されたキャプションと音データのペアに対して, CLAPによる類似度計算を用いてフィルタリングを行うことで,高品質な音とテキストのペアを自動的に生成する. ClothoV2 と AudioCaps を用いた language-basedaudio retrieval タスクでの評価実験では,提案手法で生成したデータによる学習が,人手でアノテーションされたデータと同等の性能を達成することを確認した."
Q3-25,近年，ソフトウェア開発において LLM の活用が注目されている．しかし，視覚的な情報を扱えないLLM にテキストのみで開発における複雑な情報を正確に伝えるのは難しい．一方，ソフトウェア開発現場では，要件定義や設計を効率的に行うために，UML ダイアグラムなどの視覚的情報が広く利用されてきた．視覚的情報を活用することで，テキスト主体の LLM の限界を補い，より実用的な支援が期待できる．そのため，視覚的情報とテキストを統合理解する VLM の導入が求められる．しかし，現状の VLM がソフトウェア開発における図表をどの程度理解できるのかは不明である．本研究では，VLMのソフトウェア開発における図表理解能力の調査を目的として，これらの図表に特化したベンチマーク「JSWEMU」を開発した．本論文では，JSWEMU を用いた調査結果について述べる．
B8-5,著者らは漢字の読み推定の学習・評価用コーパスとして「青空文庫振り仮名注釈付き音声コーパス」を構築し，2024 年 1 月に国立国会図書館 NDL ラボから公開している．音声コーパスの構築においては音声と元テキストとの間の対応付けの成功率が最終的なコーパスのサイズに影響を及ぼす．本研究では対応付けの成功率を高めるため，OpenAI の Whisperにおいて，専門用語等の未知語の音声認識を高める目的で使用されるプロンプトを追加し，認識精度の改善を図ることで，コーパスの拡張を試みた．結果として 7604 万文字，4617 時間の振り仮名注釈付き音声コーパスの構築に成功した．本コーパスは近日の公開を予定している．
C3-6,CLIP の埋め込み空間はテキストと画像で大きく分離している(modality gap)ため，異なるモーダル間の類似度が低いことが問題となる．本研究では，事前実験として画像とテキストのデータを外部知識に持つ RAG の検索器に CLIP を用い，画像が必要なケースにおいて正解画像データが検索上位に現れないことを確認する．そこで，外部知識のモーダルに応じて検索スコアを標準化することで，modality gapを考慮した検索手法を提案する．評価実験により，画像の外部知識を必要とするケースの検索精度は0%から 56%に改善し，RAG の生成精度は ROUGE-1で 0.26 ポイント向上したことを確認した．
A5-5,Transformer decoder の認識する言語を所属性問題として定義し，softmax 関数および定数精度浮動小数点数を採用した場合，認識する言語は有限言語および余有限言語クラスと一致することを示した．
P9-5,YouTube や TikTok に代表される動画共有サービスは，現代において様々な人の行動や選択に大きな影響力を持つようになっている．それにより動画共有サービスはビジネスやマーケティングの場としても活用されるようになった．視聴者が動画を閲覧することでどのような感情を得るかという情報は，視聴者とマーケターの両方において有益となる．本稿では，オンライン動画共有サービス上にアップロードされた動画に付けられたコメントから，動画の視聴者に引き起こされる感情の推定を行う手法を提案する．BERT 及び数種類の大規模言語モデル(LLM)を用い，動画コメントを利用した各モデルの感情推定に関する能力の違いを明らかにする．提案手法では，7 種類の感情の強さを成分とした 7 次元ベクトルにより感情を表現し，推定を行う．実験の結果，100 件のコメントを使用して精細な感情の強度を推定する場合には LLM が優位であることが分かった．また，10 件の少ないコメント件数から最も強い感情を推定する場合，BERT が高いスコアを示した．
P10-22,雑談対話コーパスの構築コストが高いという課題を解決するため，本研究では小説の台詞を用いた対話コーパスの自動構築に取り組んでいる．小説には様々な人物が登場するため，単に台詞を抽出するのみでは口調の一貫性を保ったコーパスが構築できない．そこで本稿では，台詞と口調，台詞周辺の地の文から得られる手がかりを用いて，台詞の発話者を特定する手法を提案する．実験の結果，ルールベースで発話者を特定する手法と比べて，提案手法はPrecision をほとんど減少せずに，Recall を向上できることを確認した．
Q10-22,2024 年度から施行された医師の働き方改革によって，医療現場では医師の業務の効率化が求められている．特に，書類の作成は大きな負担となっており，書類作成業務支援が医師の労働時間短縮に貢献することが期待されている．本研究では，医師による診察のサマリー作成を支援するため，外来診察における医師と患者の模擬会話記録を用いて，発話ごとにトピックのマルチラベル分類を行う手法を提案した．実験の結果，提案手法はベースライン手法を上回る性能を示し，診察会話における発話ごとのトピック分類において有効性が確認された．
Q6-15,本稿では，場所を表す言語表現（メンション）を地理データベースの適切なエントリと紐付け，地理座標（緯度・経度）を出力するモデルのための大規模データセットを構築した．具体的には，Wikipediaの各記事に出現するメンションと紐づけられているWikidata のエントリを収集することによって自動構築した．実際に構築したデータセットで学習したモデルは，異なるドメインのデータに対しても高精度で解析可能であることを示す．
Q8-10,本研究では、大規模言語モデル（LLM）による初期アノテーションと、弱教師あり学習の一種であるRobust Unlabeled-Unlabeled Learning を組み合わせた反復的な学習フレームワークを提案する。従来、専門領域や大規模データセットにおけるテキスト分類では、アノテーションコストとラベルノイズが精度向上の大きな障壁となっていた。本手法ではまずLLM を用いて未ラベルデータに対し擬似ラベルを一括付与し、正例比率が相対的に高いコーパスと低いコーパスを疑似正例・負例として構築する。次にRobust UU Learning を適用することで、LLM が付与したノイズを含むラベルにも頑健な分類器を学習し、その分類器で再度データをラベリングする手順を複数回繰り返す。これにより、初期アノテーションの誤りを段階的に削減し、高精度な分類器を獲得できることを実験的に確認した。また、本手法により、GPT-4o などの言語モデルの性能を上回る成果を得られることも示した。
